,,CHICK,CHICK,CHICK,CHICK,CHICK,CHICK,CHICK,CHICK,CHPIB,CHPIB,CHPIB,CHPIB,CHPIB,CHPIB,CHPIB,CHPIB,CIOIN,CIOIN,CIOIN,CIOIN,CIOIN,CIOIN,CIOIN,CIOIN,DANRE,DANRE,DANRE,DANRE,DANRE,DANRE,DANRE,DANRE,ECNAU,ECNAU,ECNAU,ECNAU,ECNAU,ECNAU,ECNAU,ECNAU,ERCAL,ERCAL,ERCAL,ERCAL,ERCAL,ERCAL,ERCAL,ERCAL,FELCA,FELCA,FELCA,FELCA,FELCA,FELCA,FELCA,FELCA,GADMO,GADMO,GADMO,GADMO,GADMO,GADMO,GADMO,GADMO,HUMAN,HUMAN,HUMAN,HUMAN,HUMAN,HUMAN,HUMAN,HUMAN,KAKAP,KAKAP,KAKAP,KAKAP,KAKAP,KAKAP,KAKAP,KAKAP,LEPOC,LEPOC,LEPOC,LEPOC,LEPOC,LEPOC,LEPOC,LEPOC,MOUSE,MOUSE,MOUSE,MOUSE,MOUSE,MOUSE,MOUSE,MOUSE,ORANA,ORANA,ORANA,ORANA,ORANA,ORANA,ORANA,ORANA,ORYLA,ORYLA,ORYLA,ORYLA,ORYLA,ORYLA,ORYLA,ORYLA,PHOSI,PHOSI,PHOSI,PHOSI,PHOSI,PHOSI,PHOSI,PHOSI,PODMU,PODMU,PODMU,PODMU,PODMU,PODMU,PODMU,PODMU,SALTR,SALTR,SALTR,SALTR,SALTR,SALTR,SALTR,SALTR,SARHA,SARHA,SARHA,SARHA,SARHA,SARHA,SARHA,SARHA,TAEGU,TAEGU,TAEGU,TAEGU,TAEGU,TAEGU,TAEGU,TAEGU,XENTR,XENTR,XENTR,XENTR,XENTR,XENTR,XENTR,XENTR
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Method,total_nb_genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAAugustus20,2,15095.0,0.05087777409738324,0.21975537634719522,0.0,0.0,0.0,0.0,1.0,15095.0,0.15442199403776086,0.3613647639703206,0.0,0.0,0.0,0.0,1.0,15095.0,0.029479960251738987,0.16915314868352846,0.0,0.0,0.0,0.0,1.0,15095.0,0.1030142431268632,0.30398755012428325,0.0,0.0,0.0,0.0,1.0,15095.0,0.12249089102351772,0.3278627667261427,0.0,0.0,0.0,0.0,1.0,15095.0,0.1328254388870487,0.33939721965047187,0.0,0.0,0.0,0.0,1.0,15095.0,0.08658496190791654,0.28123521468271073,0.0,0.0,0.0,0.0,1.0,15095.0,0.1700563100364359,0.3756947058457985,0.0,0.0,0.0,0.0,1.0,15095.0,0.09267969526333222,0.28999265585234607,0.0,0.0,0.0,0.0,1.0,15095.0,0.055978800927459424,0.22988839867593622,0.0,0.0,0.0,0.0,1.0,15095.0,0.12229214971844982,0.32763377581891134,0.0,0.0,0.0,0.0,1.0,15095.0,0.08413381914541239,0.2775975948224471,0.0,0.0,0.0,0.0,1.0,15095.0,0.07313680026498841,0.26036954460029166,0.0,0.0,0.0,0.0,1.0,15095.0,0.14786353097052005,0.35497641451387096,0.0,0.0,0.0,0.0,1.0,15095.0,0.08565750248426632,0.279866903346395,0.0,0.0,0.0,0.0,1.0,15095.0,0.10486916197416363,0.3063949085344133,0.0,0.0,0.0,0.0,1.0,15095.0,0.18655183835707187,0.3895642484147341,0.0,0.0,0.0,0.0,1.0,15095.0,0.06293474660483604,0.2428536007302843,0.0,0.0,0.0,0.0,1.0,15095.0,0.05392514077509109,0.22587740022930536,0.0,0.0,0.0,0.0,1.0,15095.0,0.08022524014574363,0.27165058371104017,0.0,0.0,0.0,0.0,1.0
OMAAugustus20,3,4804.0,0.10116569525395504,0.30773005579324386,0.0,0.0,0.0,0.0,2.0,4804.0,0.22398001665278935,0.4988008735848262,0.0,0.0,0.0,0.0,2.0,4804.0,0.034970857618651124,0.19472798279385026,0.0,0.0,0.0,0.0,2.0,4804.0,0.16028309741881766,0.38517769963102505,0.0,0.0,0.0,0.0,2.0,4804.0,0.1696502914238135,0.386837089873138,0.0,0.0,0.0,0.0,2.0,4804.0,0.17568692756036636,0.4294296129173606,0.0,0.0,0.0,0.0,2.0,4804.0,0.13218151540383014,0.3490162665310345,0.0,0.0,0.0,0.0,2.0,4804.0,0.2429225645295587,0.47144339324720275,0.0,0.0,0.0,0.0,2.0,4804.0,0.1609075770191507,0.3900219255740927,0.0,0.0,0.0,0.0,2.0,4804.0,0.09950041631973355,0.30555915337382433,0.0,0.0,0.0,0.0,2.0,4804.0,0.14862614487926729,0.3729007262053216,0.0,0.0,0.0,0.0,2.0,4804.0,0.13759367194004996,0.3656186400807836,0.0,0.0,0.0,0.0,2.0,4804.0,0.1030391340549542,0.3121509097080499,0.0,0.0,0.0,0.0,2.0,4804.0,0.18984179850124897,0.4129045514353854,0.0,0.0,0.0,0.0,2.0,4804.0,0.1242714404662781,0.3423139438479603,0.0,0.0,0.0,0.0,2.0,4804.0,0.14279766860949208,0.3768329620253079,0.0,0.0,0.0,0.0,2.0,4804.0,0.3403413821815154,0.5915185537972659,0.0,0.0,0.0,1.0,2.0,4804.0,0.08867610324729393,0.29296135302343945,0.0,0.0,0.0,0.0,2.0,4804.0,0.11115736885928393,0.33859329978393904,0.0,0.0,0.0,0.0,2.0,4804.0,0.11240632805995004,0.34789171474758046,0.0,0.0,0.0,0.0,2.0
OMAAugustus20,4,4209.0,0.15419339510572583,0.37473960749558716,0.0,0.0,0.0,0.0,3.0,4209.0,0.26514611546685674,0.5841898567835383,0.0,0.0,0.0,0.0,3.0,4209.0,0.03397481587075315,0.1888916047340192,0.0,0.0,0.0,0.0,2.0,4209.0,0.2069375148491328,0.4340425371884357,0.0,0.0,0.0,0.0,3.0,4209.0,0.2656212877167973,0.46427388223076943,0.0,0.0,0.0,1.0,3.0,4209.0,0.162984081729627,0.4393308837988472,0.0,0.0,0.0,0.0,3.0,4209.0,0.1903064861012117,0.4103475367427801,0.0,0.0,0.0,0.0,3.0,4209.0,0.32311712995961034,0.5416495154078612,0.0,0.0,0.0,1.0,3.0,4209.0,0.21572820147303398,0.4552500026263317,0.0,0.0,0.0,0.0,3.0,4209.0,0.15276787835590402,0.36958069390886766,0.0,0.0,0.0,0.0,3.0,4209.0,0.17248752672843906,0.4080854793531917,0.0,0.0,0.0,0.0,3.0,4209.0,0.2045616535994298,0.44914166562574354,0.0,0.0,0.0,0.0,3.0,4209.0,0.12069375148491328,0.3351577200389785,0.0,0.0,0.0,0.0,3.0,4209.0,0.29175576146353055,0.48985038962083954,0.0,0.0,0.0,1.0,3.0,4209.0,0.1798526966025184,0.39448777632897386,0.0,0.0,0.0,0.0,3.0,4209.0,0.17415062960323116,0.42869607003239985,0.0,0.0,0.0,0.0,3.0,4209.0,0.4822998336897125,0.7062545362433618,0.0,0.0,0.0,1.0,3.0,4209.0,0.1235447849845569,0.34045817087283375,0.0,0.0,0.0,0.0,3.0,4209.0,0.1644095984794488,0.40909008214216924,0.0,0.0,0.0,0.0,3.0,4209.0,0.11546685673556664,0.37504217368253606,0.0,0.0,0.0,0.0,3.0
OMAAugustus20,5,3335.0,0.1793103448275862,0.4079196544039539,0.0,0.0,0.0,0.0,4.0,3335.0,0.28725637181409297,0.6691434585699843,0.0,0.0,0.0,0.0,4.0,3335.0,0.035382308845577214,0.2091380370070493,0.0,0.0,0.0,0.0,3.0,3335.0,0.30614692653673165,0.503265875153065,0.0,0.0,0.0,1.0,4.0,3335.0,0.38980509745127434,0.5228014419686102,0.0,0.0,0.0,1.0,3.0,3335.0,0.1583208395802099,0.4856694390732083,0.0,0.0,0.0,0.0,4.0,3335.0,0.2125937031484258,0.42853773512054383,0.0,0.0,0.0,0.0,4.0,3335.0,0.4413793103448276,0.6196854803308026,0.0,0.0,0.0,1.0,4.0,3335.0,0.24017991004497752,0.493696283571296,0.0,0.0,0.0,0.0,4.0,3335.0,0.1724137931034483,0.3918263838827522,0.0,0.0,0.0,0.0,4.0,3335.0,0.19400299850074962,0.4289606235398477,0.0,0.0,0.0,0.0,4.0,3335.0,0.22098950524737632,0.46796946621071767,0.0,0.0,0.0,0.0,4.0,3335.0,0.14512743628185906,0.36891770924778705,0.0,0.0,0.0,0.0,4.0,3335.0,0.42668665667166417,0.5696337154285339,0.0,0.0,0.0,1.0,4.0,3335.0,0.19610194902548725,0.41483777494979207,0.0,0.0,0.0,0.0,4.0,3335.0,0.21859070464767616,0.4785900157889952,0.0,0.0,0.0,0.0,4.0,3335.0,0.7070464767616191,0.8489353238627841,0.0,0.0,0.0,1.0,4.0,3335.0,0.17901049475262368,0.39345680669935995,0.0,0.0,0.0,0.0,3.0,3335.0,0.17691154422788605,0.4118892158413945,0.0,0.0,0.0,0.0,4.0,3335.0,0.11274362818590705,0.39325766162014586,0.0,0.0,0.0,0.0,4.0
OMAAugustus20,6,2042.0,0.16356513222331048,0.4053592752208247,0.0,0.0,0.0,0.0,5.0,2042.0,0.3643486777668952,0.84835621780523,0.0,0.0,0.0,0.0,5.0,2042.0,0.062193927522037215,0.29122506555379296,0.0,0.0,0.0,0.0,5.0,2042.0,0.43192948090107736,0.5408533904202493,0.0,0.0,0.0,1.0,5.0,2042.0,0.44906953966699314,0.5418331489092532,0.0,0.0,0.0,1.0,5.0,2042.0,0.23800195886385897,0.587444597653415,0.0,0.0,0.0,0.0,5.0,2042.0,0.2238001958863859,0.43865374111678107,0.0,0.0,0.0,0.0,3.0,2042.0,0.4931439764936337,0.6363187303084498,0.0,0.0,0.0,1.0,5.0,2042.0,0.2566111655239961,0.5016072888740315,0.0,0.0,0.0,0.0,5.0,2042.0,0.16895200783545544,0.3914267156656275,0.0,0.0,0.0,0.0,3.0,2042.0,0.27864838393731634,0.48010342545905094,0.0,0.0,0.0,1.0,4.0,2042.0,0.25024485798237023,0.5082006945043108,0.0,0.0,0.0,0.0,5.0,2042.0,0.20666013712047013,0.42160505128911185,0.0,0.0,0.0,0.0,4.0,2042.0,0.48188050930460335,0.586400499432407,0.0,0.0,0.0,1.0,5.0,2042.0,0.22624877571008814,0.4500928455702037,0.0,0.0,0.0,0.0,4.0,2042.0,0.25269343780607245,0.5650312006977262,0.0,0.0,0.0,0.0,5.0,2042.0,0.866307541625857,0.9428817250896399,0.0,0.0,1.0,2.0,5.0,2042.0,0.20274240940254654,0.4223453812020529,0.0,0.0,0.0,0.0,4.0,2042.0,0.19245837414299707,0.4785265739746363,0.0,0.0,0.0,0.0,5.0,2042.0,0.19049951028403525,0.5559775789981181,0.0,0.0,0.0,0.0,5.0
OMAAugustus20,7,1707.0,0.23491505565319273,0.4636866530761429,0.0,0.0,0.0,0.0,6.0,1707.0,0.44112478031634444,0.9698965513363443,0.0,0.0,0.0,1.0,6.0,1707.0,0.0626830697129467,0.2655403387012196,0.0,0.0,0.0,0.0,3.0,1707.0,0.46631517281780904,0.5556979296360322,0.0,0.0,0.0,1.0,3.0,1707.0,0.4844756883421207,0.604951533108041,0.0,0.0,0.0,1.0,5.0,1707.0,0.28939660222612773,0.6308956762712863,0.0,0.0,0.0,0.0,6.0,1707.0,0.2753368482718219,0.4917798388642933,0.0,0.0,0.0,1.0,4.0,1707.0,0.546572934973638,0.704635235955495,0.0,0.0,0.0,1.0,6.0,1707.0,0.335676625659051,0.6571178024300027,0.0,0.0,0.0,1.0,6.0,1707.0,0.21499707088459286,0.42908342768788676,0.0,0.0,0.0,0.0,3.0,1707.0,0.393087287639133,0.5642943855579121,0.0,0.0,0.0,1.0,5.0,1707.0,0.29291154071470415,0.5389539984560165,0.0,0.0,0.0,1.0,6.0,1707.0,0.22671353251318102,0.4406524676604186,0.0,0.0,0.0,0.0,3.0,1707.0,0.5043936731107206,0.6307465233363253,0.0,0.0,0.0,1.0,6.0,1707.0,0.2548330404217926,0.4891241708637648,0.0,0.0,0.0,0.0,6.0,1707.0,0.3450497949619215,0.5978496395751279,0.0,0.0,0.0,1.0,6.0,1707.0,0.9338019917984769,1.0264724719552127,0.0,0.0,1.0,2.0,6.0,1707.0,0.24253075571177504,0.4552624863722531,0.0,0.0,0.0,0.0,5.0,1707.0,0.23198594024604569,0.456895564281768,0.0,0.0,0.0,0.0,4.0,1707.0,0.22319859402460457,0.6037987093434546,0.0,0.0,0.0,0.0,6.0
OMAAugustus20,8,1328.0,0.35240963855421686,0.5712743651423074,0.0,0.0,0.0,1.0,5.0,1328.0,0.6024096385542169,1.2423305908768223,0.0,0.0,0.0,1.0,7.0,1328.0,0.08207831325301204,0.2853539478444811,0.0,0.0,0.0,0.0,2.0,1328.0,0.46536144578313254,0.6486939092298537,0.0,0.0,0.0,1.0,6.0,1328.0,0.4375,0.6204335820142495,0.0,0.0,0.0,1.0,7.0,1328.0,0.38629518072289154,0.8128724048477978,0.0,0.0,0.0,1.0,7.0,1328.0,0.32906626506024095,0.5429537973439772,0.0,0.0,0.0,1.0,7.0,1328.0,0.5112951807228916,0.8105514475033982,0.0,0.0,0.0,1.0,7.0,1328.0,0.3960843373493976,0.6766977524675155,0.0,0.0,0.0,1.0,7.0,1328.0,0.3365963855421687,0.4945379243297116,0.0,0.0,0.0,1.0,3.0,1328.0,0.36370481927710846,0.5607956536039644,0.0,0.0,0.0,1.0,7.0,1328.0,0.40286144578313254,0.7123991362951952,0.0,0.0,0.0,1.0,7.0,1328.0,0.3064759036144578,0.4881908431582559,0.0,0.0,0.0,1.0,3.0,1328.0,0.45481927710843373,0.624354470930087,0.0,0.0,0.0,1.0,7.0,1328.0,0.32906626506024095,0.5085538417155487,0.0,0.0,0.0,1.0,3.0,1328.0,0.4691265060240964,0.7390161216057527,0.0,0.0,0.0,1.0,7.0,1328.0,0.8441265060240963,1.044140425851573,0.0,0.0,0.0,2.0,7.0,1328.0,0.3335843373493976,0.5231794706586126,0.0,0.0,0.0,1.0,6.0,1328.0,0.3260542168674699,0.5075307216128381,0.0,0.0,0.0,1.0,3.0,1328.0,0.2710843373493976,0.6815523962562712,0.0,0.0,0.0,0.0,7.0
OMAAugustus20,9,1003.0,0.44466600199401796,0.5110348812077762,0.0,0.0,0.0,1.0,2.0,1003.0,0.6450648055832503,1.170002247975235,0.0,0.0,0.0,1.0,8.0,1003.0,0.0897308075772682,0.30940711335464954,0.0,0.0,0.0,0.0,2.0,1003.0,0.49252243270189433,0.6955044682204673,0.0,0.0,0.0,1.0,5.0,1003.0,0.42273180458624127,0.5899708329129988,0.0,0.0,0.0,1.0,4.0,1003.0,0.3270189431704885,0.9268331819404116,0.0,0.0,0.0,0.0,8.0,1003.0,0.4456630109670987,0.5631645633798466,0.0,0.0,0.0,1.0,6.0,1003.0,0.5124626121635095,0.810727856948244,0.0,0.0,0.0,1.0,8.0,1003.0,0.4715852442671984,0.6157774076969333,0.0,0.0,0.0,1.0,6.0,1003.0,0.4715852442671984,0.5685891243042388,0.0,0.0,0.0,1.0,8.0,1003.0,0.3419740777666999,0.5302269420783994,0.0,0.0,0.0,1.0,4.0,1003.0,0.5004985044865404,0.7139539832282062,0.0,0.0,0.0,1.0,8.0,1003.0,0.37188434695912265,0.4897014636869824,0.0,0.0,0.0,1.0,2.0,1003.0,0.47258225324027914,0.7134269800423887,0.0,0.0,0.0,1.0,7.0,1003.0,0.4107676969092722,0.5042372442376971,0.0,0.0,0.0,1.0,2.0,1003.0,0.5383848454636092,0.6606053168725563,0.0,0.0,0.0,1.0,8.0,1003.0,0.864406779661017,1.0654992935449599,0.0,0.0,1.0,2.0,8.0,1003.0,0.40079760717846463,0.5218569655846311,0.0,0.0,0.0,1.0,4.0,1003.0,0.452642073778664,0.5309770477657001,0.0,0.0,0.0,1.0,2.0,1003.0,0.3230309072781655,0.6711461180832665,0.0,0.0,0.0,1.0,8.0
