HUMAN	Homo_sapiens
MOUSE	Mus_musculus
DANRE	Danio_rerio
CHICK	Gallus_gallus
CIONA	Ciona_intestinalis
KAKAP	Strigops_habroptila
TAEGU	Taeniopygia_guttata
LEPOC	Lepisosteus_oculatus
GADMO	Gadus_morhua
CHPIB	Chrysemys_picta_bellii
ORANA	Ornithorhynchus_anatinus
XENTR	Xenopus_tropicalis
PODMU	Podarcis_muralis
PHOSI	Phocoena_sinus
ORYLA	Oryzias_latipes
SARHA	Sarcophilus_harrisii
ECNAU	Echeneis_naucrates
ERCAL	Erpetoichthys_calabaricus
SALTR	Salmo_trutta
FELCA	Felis_catus
